Listing_id,negative,positive,Total,Positive Ratio,Negative Ratio
17446056,33,458,491,0.93,0.07
17464124,7,69,76,0.91,0.09
17476061,14,332,346,0.96,0.04
17494425,5,179,184,0.97,0.03
17552287,38,535,573,0.93,0.07
17587855,23,397,420,0.95,0.05
17591050,71,917,988,0.93,0.07
17602726,18,517,535,0.97,0.03
17606368,10,125,135,0.93,0.07
17606369,,36,36,1.00,0.00
17616823,4,134,138,0.97,0.03
17618702,30,441,471,0.94,0.06
17634705,31,666,697,0.96,0.04
17638575,9,163,172,0.95,0.05
17648416,9,233,242,0.96,0.04
17649947,28,597,625,0.96,0.04
17653835,34,424,458,0.93,0.07
17697321,19,576,595,0.97,0.03
17708120,35,604,639,0.95,0.05
17718592,22,346,368,0.94,0.06
17726977,12,307,319,0.96,0.04
17733146,39,397,436,0.91,0.09
17773135,49,764,813,0.94,0.06
17780854,15,268,283,0.95,0.05
17787933,8,362,370,0.98,0.02
17794306,74,752,826,0.91,0.09
17826503,60,1103,1163,0.95,0.05
17861930,90,336,426,0.79,0.21
17908639,3,69,72,0.96,0.04
17917678,25,470,495,0.95,0.05
17923086,7,43,50,0.86,0.14
17924964,11,158,169,0.93,0.07
17928351,1,52,53,0.98,0.02
17935396,36,476,512,0.93,0.07
17971183,3,10,13,0.77,0.23
17975156,32,639,671,0.95,0.05
18017043,67,695,762,0.91,0.09
18018230,42,669,711,0.94,0.06
18022683,31,659,690,0.96,0.04
18040182,17,405,422,0.96,0.04
18055958,4,53,57,0.93,0.07
18057215,3,38,41,0.93,0.07
18077196,6,114,120,0.95,0.05
18092896,45,671,716,0.94,0.06
18119864,,9,9,1.00,0.00
18121899,17,371,388,0.96,0.04
18122227,10,207,217,0.95,0.05
18151750,115,1562,1677,0.93,0.07
18153024,6,88,94,0.94,0.06
18178954,12,280,292,0.96,0.04
18179308,35,315,350,0.90,0.10
18264441,22,524,546,0.96,0.04
18305230,5,120,125,0.96,0.04
18308309,1,2,3,0.67,0.33
18308656,3,22,25,0.88,0.12
18308869,2,30,32,0.94,0.06
18308979,1,12,13,0.92,0.08
18309080,2,12,14,0.86,0.14
18322086,15,324,339,0.96,0.04
18326331,26,515,541,0.95,0.05
18343468,6,113,119,0.95,0.05
18374305,17,481,498,0.97,0.03
18375617,16,576,592,0.97,0.03
18385101,42,512,554,0.92,0.08
18389884,11,56,67,0.84,0.16
18393059,9,308,317,0.97,0.03
18395523,59,1066,1125,0.95,0.05
18404153,7,43,50,0.86,0.14
18405483,8,71,79,0.90,0.10
18406520,9,47,56,0.84,0.16
18422959,42,723,765,0.95,0.05
18431805,29,527,556,0.95,0.05
18432514,9,198,207,0.96,0.04
18466431,53,862,915,0.94,0.06
18471514,10,199,209,0.95,0.05
18472679,1,2,3,0.67,0.33
18473371,9,303,312,0.97,0.03
18487194,129,285,414,0.69,0.31
18502022,7,154,161,0.96,0.04
18510280,18,455,473,0.96,0.04
18521819,47,902,949,0.95,0.05
18525895,10,103,113,0.91,0.09
18566844,9,392,401,0.98,0.02
18592860,8,128,136,0.94,0.06
18599205,21,447,468,0.96,0.04
18616393,15,142,157,0.90,0.10
18627613,22,321,343,0.94,0.06
18716194,44,398,442,0.90,0.10
18731242,11,143,154,0.93,0.07
18751432,6,144,150,0.96,0.04
18753699,15,105,120,0.88,0.13
18754939,51,308,359,0.86,0.14
18776404,15,508,523,0.97,0.03
18784621,90,428,518,0.83,0.17
18825741,,1,1,1.00,0.00
18907430,19,402,421,0.95,0.05
18910863,81,415,496,0.84,0.16
18918238,48,843,891,0.95,0.05
18928361,16,45,61,0.74,0.26
18929549,31,506,537,0.94,0.06
18974593,12,282,294,0.96,0.04
18992152,3,55,58,0.95,0.05
19006372,34,590,624,0.95,0.05
19029460,27,456,483,0.94,0.06
19032051,32,739,771,0.96,0.04
19050500,27,478,505,0.95,0.05
19066373,25,184,209,0.88,0.12
19066512,1,29,30,0.97,0.03
19077911,4,20,24,0.83,0.17
19085821,,16,16,1.00,0.00
19101996,44,749,793,0.94,0.06
19110626,19,133,152,0.88,0.13
19118629,28,370,398,0.93,0.07
19120555,37,377,414,0.91,0.09
19121317,59,593,652,0.91,0.09
19129020,5,58,63,0.92,0.08
19137905,9,246,255,0.96,0.04
19227583,7,156,163,0.96,0.04
19229221,46,340,386,0.88,0.12
19262092,5,124,129,0.96,0.04
19264539,28,195,223,0.87,0.13
19270494,17,417,434,0.96,0.04
19307742,12,318,330,0.96,0.04
